Matricula,Algoritmos,CalculoI,GeometriaAnalitica,Situação
18010983,1,0,1,Formado
18010711,0,1,0,Evadido
18010452,0,0,1,Evadido
18010744,0,0,0,Evadido
18010600,0,0,0,Evadido
18010819,1,1,1,Formado
18010592,0,0,0,Evadido
18010885,0,0,0,Evadido
18010557,0,0,0,Evadido
18010175,1,1,0,Formado
18010654,1,1,1,Formado
18010189,0,1,1,Evadido
18010244,0,0,0,Evadido
18010151,0,1,1,Evadido
18010063,1,0,1,Evadido
18010519,0,0,0,Evadido
18010925,0,0,0,Evadido
18010486,1,0,1,Formado
18010496,0,1,1,Evadido
18010201,1,1,0,Formado
18010881,1,0,1,Formado
18010072,1,0,0,Formado
18010839,1,0,1,Formado
18010449,0,0,0,Evadido
18010343,0,0,0,Evadido
18010690,0,0,1,Evadido
18010833,1,1,1,Formado
18010828,1,1,0,Formado
18010987,0,0,1,Evadido
18010685,0,0,0,Evadido
18010080,1,0,0,Evadido
18010727,0,1,1,Evadido
18010517,0,0,0,Evadido
18010053,0,1,1,Evadido
18010098,1,1,0,Formado
18010609,1,0,1,Evadido
18010987,0,0,1,Evadido
18010456,1,1,0,Formado
18010689,1,0,1,Formado
18010490,1,1,1,Formado
18010748,0,1,0,Evadido
18010915,0,0,1,Evadido
18010086,1,0,1,Formado
18010813,1,0,0,Evadido
18010794,1,1,1,Formado
18010081,0,0,1,Evadido
18010414,0,0,0,Evadido
18010211,1,1,1,Formado
18010381,1,1,1,Formado
18010540,0,1,1,Evadido
18010194,1,0,1,Formado
18010449,0,0,0,Evadido
18010005,0,1,1,Evadido
18010986,1,0,1,Formado
18010522,1,0,0,Formado
18010609,0,1,0,Formado
18010115,0,0,0,Evadido
18010469,0,0,0,Evadido
18010061,1,1,1,Formado
18010060,1,0,0,Formado
18010481,1,1,0,Evadido
18010455,0,1,0,Evadido
18010847,0,0,0,Evadido
18010624,1,0,0,Formado
18010938,0,0,0,Evadido
18010869,0,1,0,Evadido
18010428,1,1,1,Formado
18010470,1,1,1,Formado
18010400,1,0,1,Evadido
18010000,1,1,1,Formado
18010417,1,0,1,Formado
18010679,0,1,0,Evadido
18010825,1,1,1,Formado
18010095,0,1,0,Formado
